number,year,title,url,filename,status,bytes,error
26,2026,ReCoVer: Resilient LLM Pre-Training System via Fault-Tolerant Collective and Versatile Workload,https://arxiv.org/pdf/2605.11215,026_2026_ReCoVer- Resilient LLM Pre-Training System via Fault-Tolerant Collective and Versatile Workload.pdf,downloaded,4148564,
27,2026,The Anatomy of Silent Data Corruption: GPU Error Pattern Study and Modeling Guidance,https://arxiv.org/pdf/2605.04213,027_2026_The Anatomy of Silent Data Corruption- GPU Error Pattern Study and Modeling Guidance.pdf,downloaded,967887,
28,2026,The Correctness Illusion in LLM-Generated GPU Kernels,https://arxiv.org/pdf/2606.20128v2,028_2026_The Correctness Illusion in LLM-Generated GPU Kernels.pdf,downloaded,281624,
29,2026,"Training LLMs with Fault Tolerant HSDP on 100,000 GPUs",https://arxiv.org/pdf/2602.00277,"029_2026_Training LLMs with Fault Tolerant HSDP on 100,000 GPUs.pdf",downloaded,1134943,
30,2026,V-ABFT: Variance-Based Adaptive Threshold for Fault-Tolerant Matrix Multiplication in Mixed-Precision Deep Learning,https://arxiv.org/pdf/2602.08043,030_2026_V-ABFT- Variance-Based Adaptive Threshold for Fault-Tolerant Matrix Multiplication in Mixed-Precision Deep Learning.pdf,downloaded,649221,
31,2026,Beyond Linear Probes: Dynamic Safety Monitoring for Language Models,https://arxiv.org/pdf/2509.26238,031_2026_Beyond Linear Probes- Dynamic Safety Monitoring for Language Models.pdf,downloaded,8646894,
32,2026,Online Safety Monitoring for LLMs,https://arxiv.org/pdf/2607.02510,032_2026_Online Safety Monitoring for LLMs.pdf,downloaded,5234528,
33,2026,Preserving Fairness and Safety in Quantized LLMs Through Critical Weight Protection,https://arxiv.org/pdf/2601.12033,033_2026_Preserving Fairness and Safety in Quantized LLMs Through Critical Weight Protection.pdf,downloaded,832776,
34,2026,ProbGuard: Calibrated Safety Risk Estimation from LLM Output Distributions,https://arxiv.org/pdf/2608.10621,034_2026_ProbGuard- Calibrated Safety Risk Estimation from LLM Output Distributions.pdf,downloaded,1371599,
35,2026,Pruning Unsafe Tickets: A Resource-Efficient Framework for Safer and More Robust LLMs,https://aclanthology.org/2026.acl-long.1209.pdf,035_2026_Pruning Unsafe Tickets- A Resource-Efficient Framework for Safer and More Robust LLMs.pdf,downloaded,571935,
36,2026,RAIL Guard: Closing the Evaluation-to-Remediation Gap in Responsible AI for LLM Agents,https://arxiv.org/pdf/2607.16215,036_2026_RAIL Guard- Closing the Evaluation-to-Remediation Gap in Responsible AI for LLM Agents.pdf,downloaded,2235251,
37,2026,Robust and Efficient Guardrails with Latent Reasoning,https://arxiv.org/pdf/2605.29068,037_2026_Robust and Efficient Guardrails with Latent Reasoning.pdf,downloaded,2168294,
38,2026,Why LLM Safety Guardrails Collapse After Fine-tuning: A Similarity Analysis Between Alignment and Fine-tuning Datasets,https://aclanthology.org/2026.acl-long.756.pdf,038_2026_Why LLM Safety Guardrails Collapse After Fine-tuning- A Similarity Analysis Between Alignment and Fine-tuning Datasets.pdf,downloaded,818542,
39,2026,Benchmarking Confidential GPU Inference on NVIDIA H100 under Intel TDX,https://arxiv.org/pdf/2607.19353,039_2026_Benchmarking Confidential GPU Inference on NVIDIA H100 under Intel TDX.pdf,downloaded,942674,
40,2026,CloakLM: Obfuscating GPU Memory Layout to Mitigate Model Ex-filtration for Serving,https://arxiv.org/pdf/2606.18400,040_2026_CloakLM- Obfuscating GPU Memory Layout to Mitigate Model Ex-filtration for Serving.pdf,downloaded,2547439,
41,2026,DP-Fusion: Token-Level Differentially Private Inference for Large Language Models,https://arxiv.org/pdf/2507.04531,041_2026_DP-Fusion- Token-Level Differentially Private Inference for Large Language Models.pdf,downloaded,3627954,
42,2026,EncFormer: Secure and Efficient Transformer Inference over Encrypted Data,https://arxiv.org/pdf/2604.09975,042_2026_EncFormer- Secure and Efficient Transformer Inference over Encrypted Data.pdf,downloaded,3158948,
43,2026,Gecko: Fast Private Inference via Secure Public Encoder Offloading,https://arxiv.org/pdf/2608.02378,043_2026_Gecko- Fast Private Inference via Secure Public Encoder Offloading.pdf,downloaded,715523,
44,2026,Governing the KV Cache: Preventing Timing Side-Channel Leakage in Multi-Tenant LLM Inference,https://arxiv.org/pdf/2608.09225,044_2026_Governing the KV Cache- Preventing Timing Side-Channel Leakage in Multi-Tenant LLM Inference.pdf,downloaded,278235,
45,2026,Privacy from Symmetry: Orthogonally Equivariant Transformers for LLM Inference,https://arxiv.org/pdf/2606.16461,045_2026_Privacy from Symmetry- Orthogonally Equivariant Transformers for LLM Inference.pdf,downloaded,1658182,
46,2026,"Scaling up FHE-based Privacy-Preserving ML: Higher Throughput, Longer Inputs for LLama-3-8B",https://arxiv.org/pdf/2601.18511,"046_2026_Scaling up FHE-based Privacy-Preserving ML- Higher Throughput, Longer Inputs for LLama-3-8B.pdf",downloaded,2349859,
47,2026,Your Inference Request Will Become a Black Box: Confidential Inference for Cloud-based Large Language Models,https://aclanthology.org/2026.acl-long.4.pdf,047_2026_Your Inference Request Will Become a Black Box- Confidential Inference for Cloud-based Large Language Models.pdf,downloaded,772865,
48,2026,AOI: Turning Failed Trajectories into Training Signals for Autonomous Cloud Diagnosis,https://arxiv.org/pdf/2603.03378,048_2026_AOI- Turning Failed Trajectories into Training Signals for Autonomous Cloud Diagnosis.pdf,downloaded,1307351,
49,2026,Evaluating Kubernetes Performance for GenAI Inference: From Automatic Speech Recognition to LLM Summarization,https://arxiv.org/pdf/2602.04900,049_2026_Evaluating Kubernetes Performance for GenAI Inference- From Automatic Speech Recognition to LLM Summarization.pdf,downloaded,2043648,
50,2026,"Stalled, Biased, and Confused: Uncovering Reasoning Failures in LLMs for Cloud-Based Root Cause Analysis",https://arxiv.org/pdf/2601.22208,"050_2026_Stalled, Biased, and Confused- Uncovering Reasoning Failures in LLMs for Cloud-Based Root Cause Analysis.pdf",downloaded,3406577,
51,2026,TopoEvo: A Topology-Aware Self-Evolving Multi-Agent Framework for Root Cause Analysis in Microservices,https://arxiv.org/pdf/2605.15611,051_2026_TopoEvo- A Topology-Aware Self-Evolving Multi-Agent Framework for Root Cause Analysis in Microservices.pdf,downloaded,1479891,
52,2025,Guaranteed Guess: A Language Modeling Approach for CISC-to-RISC Transpilation with Testing Guarantees,https://aclanthology.org/2025.findings-emnlp.1330.pdf,052_2025_Guaranteed Guess- A Language Modeling Approach for CISC-to-RISC Transpilation with Testing Guarantees.pdf,downloaded,2176173,
53,2025,Wafer-Scale Systems: A Carbon Perspective,https://hotcarbon.org/assets/2025/paper-160.pdf,053_2025_Wafer-Scale Systems- A Carbon Perspective.pdf,downloaded,1071596,
54,2025,BlitzScale: Fast and Live Large Model Autoscaling with O(1) Host Caching,https://www.usenix.org/system/files/osdi25-zhang-dingyan.pdf,054_2025_BlitzScale- Fast and Live Large Model Autoscaling with O(1) Host Caching.pdf,downloaded,5528046,
55,2025,Colocating ML Inference and Training with Fast GPU Memory Handover,https://www.usenix.org/system/files/atc25-wang-jiali.pdf,055_2025_Colocating ML Inference and Training with Fast GPU Memory Handover.pdf,downloaded,9906100,
56,2025,DEEPSERVE: Serverless Large Language Model Serving at Scale,https://www.usenix.org/system/files/atc25-hu-junhao.pdf,056_2025_DEEPSERVE- Serverless Large Language Model Serving at Scale.pdf,downloaded,930903,
57,2025,Helix: Serving Large Language Models over Heterogeneous GPUs and Network via Max-Flow,https://arxiv.org/pdf/2406.01566v2,057_2025_Helix- Serving Large Language Models over Heterogeneous GPUs and Network via Max-Flow.pdf,downloaded,1864908,
58,2025,Mooncake: Trading More Storage for Less Computation — A KVCache-centric Architecture for Serving LLM Chatbot,https://www.usenix.org/system/files/fast25-qin.pdf,058_2025_Mooncake- Trading More Storage for Less Computation — A KVCache-centric Architecture for Serving LLM Chatbot.pdf,downloaded,871530,
59,2025,NanoFlow: Towards Optimal Large Language Model Serving Throughput,https://www.usenix.org/system/files/osdi25-zhu-kan.pdf,059_2025_NanoFlow- Towards Optimal Large Language Model Serving Throughput.pdf,downloaded,2848272,
60,2025,Resource Multiplexing in Tuning and Serving Large Language Models,https://www.usenix.org/system/files/atc25-he-yongjun.pdf,060_2025_Resource Multiplexing in Tuning and Serving Large Language Models.pdf,downloaded,825370,
61,2025,"Torpor: GPU-Enabled Serverless Computing for Low-Latency, Resource-Efficient Inference",https://www.usenix.org/system/files/atc25-yu.pdf,"061_2025_Torpor- GPU-Enabled Serverless Computing for Low-Latency, Resource-Efficient Inference.pdf",downloaded,926664,
62,2025,WaferLLM: Large Language Model Inference at Wafer Scale,https://www.usenix.org/system/files/osdi25-he.pdf,062_2025_WaferLLM- Large Language Model Inference at Wafer Scale.pdf,downloaded,719930,
63,2025,Weaver: Efficient Multi-LLM Serving with Attention Offloading,https://www.usenix.org/system/files/atc25-gao.pdf,063_2025_Weaver- Efficient Multi-LLM Serving with Attention Offloading.pdf,downloaded,668852,
64,2025,Accelerating LLM Inference Throughput via Asynchronous KV Cache Prefetching,https://arxiv.org/pdf/2504.06319,064_2025_Accelerating LLM Inference Throughput via Asynchronous KV Cache Prefetching.pdf,downloaded,787570,
65,2025,BitDecoding: Unlocking Tensor Cores for Long-Context LLMs with Low-Bit KV Cache,https://arxiv.org/pdf/2503.18773,065_2025_BitDecoding- Unlocking Tensor Cores for Long-Context LLMs with Low-Bit KV Cache.pdf,downloaded,1500840,
66,2025,EAGLE-3: Scaling up Inference Acceleration of Large Language Models via Training-Time Test,https://arxiv.org/pdf/2503.01840,066_2025_EAGLE-3- Scaling up Inference Acceleration of Large Language Models via Training-Time Test.pdf,downloaded,946062,
67,2025,Fast and Cost-effective Speculative Edge-Cloud Decoding with Early Exits,https://arxiv.org/pdf/2505.21594,067_2025_Fast and Cost-effective Speculative Edge-Cloud Decoding with Early Exits.pdf,downloaded,4733072,
68,2025,FlashInfer: Efficient and Customizable Attention Engine for LLM Inference Serving,https://arxiv.org/pdf/2501.01005,068_2025_FlashInfer- Efficient and Customizable Attention Engine for LLM Inference Serving.pdf,downloaded,1882193,
69,2025,Inference-Time Hyper-Scaling with KV Cache Compression,https://arxiv.org/pdf/2506.05345,069_2025_Inference-Time Hyper-Scaling with KV Cache Compression.pdf,downloaded,2065230,
70,2025,LiquidGEMM: Hardware-Efficient W4A8 GEMM Kernel for High-Performance LLM Serving,https://arxiv.org/pdf/2509.01229,070_2025_LiquidGEMM- Hardware-Efficient W4A8 GEMM Kernel for High-Performance LLM Serving.pdf,downloaded,1134679,
71,2025,PPSD: Pipeline Parallelism is All You Need for Optimized Early-Exit Based Self-Speculative Decoding,https://arxiv.org/pdf/2509.19368,071_2025_PPSD- Pipeline Parallelism is All You Need for Optimized Early-Exit Based Self-Speculative Decoding.pdf,downloaded,806879,
72,2025,QuantX: A Framework for Hardware-Aware Quantization of Generative AI Workloads,https://arxiv.org/pdf/2505.07531,072_2025_QuantX- A Framework for Hardware-Aware Quantization of Generative AI Workloads.pdf,downloaded,2007180,
73,2025,Speculative Decoding for Multi-Sample Inference,https://arxiv.org/pdf/2503.05330,073_2025_Speculative Decoding for Multi-Sample Inference.pdf,downloaded,363241,
74,2025,SwiftKV: Fast Prefill-Optimized Inference with Knowledge-Preserving Model Transformation,https://aclanthology.org/2025.emnlp-main.1306.pdf,074_2025_SwiftKV- Fast Prefill-Optimized Inference with Knowledge-Preserving Model Transformation.pdf,downloaded,648815,
75,2025,KernelBench: Can LLMs Write Efficient GPU Kernels?,https://arxiv.org/pdf/2502.10517,075_2025_KernelBench- Can LLMs Write Efficient GPU Kernels-.pdf,downloaded,3029709,
76,2025,Story of Two GPUs: Characterizing the Resilience of Hopper H100 and Ampere A100 GPUs,https://arxiv.org/pdf/2503.11901,076_2025_Story of Two GPUs- Characterizing the Resilience of Hopper H100 and Ampere A100 GPUs.pdf,downloaded,1551434,
77,2025,Understanding and Detecting Fail-Slow Hardware Failure Bugs in Cloud Systems,https://www.usenix.org/system/files/atc25-dong.pdf,077_2025_Understanding and Detecting Fail-Slow Hardware Failure Bugs in Cloud Systems.pdf,downloaded,655553,
78,2025,Understanding Silent Data Corruption in LLM Training,https://arxiv.org/pdf/2502.12340,078_2025_Understanding Silent Data Corruption in LLM Training.pdf,downloaded,3925249,
79,2025,Aegis2.0: A Diverse AI Safety Dataset and Risks Taxonomy for Alignment of LLM Guardrails,https://arxiv.org/pdf/2501.09004,079_2025_Aegis2.0- A Diverse AI Safety Dataset and Risks Taxonomy for Alignment of LLM Guardrails.pdf,downloaded,1666610,
80,2025,Beyond Greedy Exits: Improved Early Exit Decisions for Risk Control and Reliability,https://arxiv.org/pdf/2509.23666,080_2025_Beyond Greedy Exits- Improved Early Exit Decisions for Risk Control and Reliability.pdf,downloaded,1009587,
81,2025,GuardReasoner: Towards Reasoning-based LLM Safeguards,https://arxiv.org/pdf/2501.18492,081_2025_GuardReasoner- Towards Reasoning-based LLM Safeguards.pdf,downloaded,2539024,
82,2025,Q-resafe: Assessing Safety Risks and Quantization-aware Safety Patching for Quantized Large Language Models,https://arxiv.org/pdf/2506.20251,082_2025_Q-resafe- Assessing Safety Risks and Quantization-aware Safety Patching for Quantized Large Language Models.pdf,downloaded,1879297,
83,2025,Safe Pruning LoRA: Robust Distance-Guided Pruning for Safety Alignment in Adaptation of LLMs,https://arxiv.org/pdf/2506.18931,083_2025_Safe Pruning LoRA- Robust Distance-Guided Pruning for Safety Alignment in Adaptation of LLMs.pdf,downloaded,455588,
84,2025,SafeQuant: LLM Safety Analysis via Quantized Gradient Inspection,https://aclanthology.org/2025.naacl-long.127.pdf,084_2025_SafeQuant- LLM Safety Analysis via Quantized Gradient Inspection.pdf,downloaded,1101098,
85,2025,SafeRoute: Adaptive Model Selection for Efficient and Accurate Safety Guardrails in Large Language Models,https://aclanthology.org/2025.findings-acl.105.pdf,085_2025_SafeRoute- Adaptive Model Selection for Efficient and Accurate Safety Guardrails in Large Language Models.pdf,downloaded,628861,
86,2025,Safety Layers in Aligned Large Language Models: The Key to LLM Security,https://arxiv.org/pdf/2408.17003,086_2025_Safety Layers in Aligned Large Language Models- The Key to LLM Security.pdf,downloaded,5065200,
87,2025,Unified Multi-Task Learning & Model Fusion for Efficient Language Model Guardrailing,https://arxiv.org/pdf/2504.19333,087_2025_Unified Multi-Task Learning & Model Fusion for Efficient Language Model Guardrailing.pdf,downloaded,1064080,
88,2025,A Scalable Multi-GPU Framework for Encrypted Large-Model Inference,https://arxiv.org/pdf/2512.11269,088_2025_A Scalable Multi-GPU Framework for Encrypted Large-Model Inference.pdf,downloaded,668702,
89,2025,Breaking the Layer Barrier: Remodeling Private Transformer Inference with Hybrid CKKS and MPC,https://www.usenix.org/system/files/usenixsecurity25-xu-tianshi.pdf,089_2025_Breaking the Layer Barrier- Remodeling Private Transformer Inference with Hybrid CKKS and MPC.pdf,downloaded,2774067,
90,2025,BumbleBee: Secure Two-party Inference Framework for Large Transformers,https://www.ndss-symposium.org/wp-content/uploads/2025-57-paper.pdf,090_2025_BumbleBee- Secure Two-party Inference Framework for Large Transformers.pdf,downloaded,1059933,
91,2025,Confidential LLM Inference: Performance and Cost Across CPU and GPU TEEs,https://arxiv.org/pdf/2509.18886,091_2025_Confidential LLM Inference- Performance and Cost Across CPU and GPU TEEs.pdf,downloaded,1728467,
92,2025,ENSI: Efficient Non-Interactive Secure Inference for Large Language Models,https://arxiv.org/pdf/2509.09424,092_2025_ENSI- Efficient Non-Interactive Secure Inference for Large Language Models.pdf,downloaded,3255937,
93,2025,Inside Job: Defending Kubernetes Clusters Against Network Misconfigurations,https://arxiv.org/pdf/2506.21134,093_2025_Inside Job- Defending Kubernetes Clusters Against Network Misconfigurations.pdf,downloaded,1891611,
94,2025,MettEagle: Costs and Benefits of Implementing Containers on Microkernels,https://www.usenix.org/system/files/osdi25-miemietz.pdf,094_2025_MettEagle- Costs and Benefits of Implementing Containers on Microkernels.pdf,downloaded,529491,
95,2025,Performance of Confidential Computing GPUs,https://arxiv.org/pdf/2505.16501,095_2025_Performance of Confidential Computing GPUs.pdf,downloaded,754926,
96,2025,Securing Transformer-based AI Execution via Unified TEEs and Crypto-protected Accelerators,https://arxiv.org/pdf/2507.03278,096_2025_Securing Transformer-based AI Execution via Unified TEEs and Crypto-protected Accelerators.pdf,downloaded,2203651,
97,2025,Towards Confidential and Efficient LLM Inference with Dual Privacy Protection,https://arxiv.org/pdf/2509.09091,097_2025_Towards Confidential and Efficient LLM Inference with Dual Privacy Protection.pdf,downloaded,1589231,
98,2025,AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds,https://arxiv.org/pdf/2501.06706,098_2025_AIOpsLab- A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds.pdf,downloaded,809427,
99,2025,"Automated Dynamic AI Inference Scaling on HPC-Infrastructure: Integrating Kubernetes, Slurm and vLLM",https://arxiv.org/pdf/2511.21413,"099_2025_Automated Dynamic AI Inference Scaling on HPC-Infrastructure- Integrating Kubernetes, Slurm and vLLM.pdf",downloaded,546839,
100,2025,LogSage: An LLM-Based Framework for CI/CD Failure Detection and Remediation with Industrial Validation,https://arxiv.org/pdf/2506.03691,100_2025_LogSage- An LLM-Based Framework for CI-CD Failure Detection and Remediation with Industrial Validation.pdf,downloaded,3144738,
